score,pop,song_a,song_b,bpm
99,65,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),Rafa e Junior - Pega Em Segredo,129<->123
99,65,La Arrolladora Banda El LimÃ³n De Rene Camacho - El Final De Nuestra Historia,"Sachet Tandon - Malang Sajna (w/ Parampara Tandon, Kumaar)",117<->112
99,65,La Arrolladora Banda El LimÃ³n De Rene Camacho - El Final De Nuestra Historia,Jeck - La recette (w/ Carla),117<->117
99,65,Fuerza Regida - EXCESOS,Dardan - Mitten in der Nacht (w/ Azet),129<->123
99,65,Fuerza Regida - EXCESOS,reezy - SABÃA QUE NO,129<->129
99,65,Fuerza Regida - EXCESOS,GIMS - NINAO,129<->123
99,65,Fuerza Regida - EXCESOS,M4IA - Brasil com S,129<->129
99,65,reezy - COMEBACCC,Dardan - Mitten in der Nacht (w/ Azet),129<->123
99,65,reezy - COMEBACCC,reezy - SABÃA QUE NO,129<->129
99,65,reezy - COMEBACCC,GIMS - NINAO,129<->123
99,65,reezy - COMEBACCC,M4IA - Brasil com S,129<->129
99,65,Danilo e Davi - Apaga Apaga Apaga,Zartmann - tau mich auf,129<->123
99,65,Danilo e Davi - Apaga Apaga Apaga,Calvin Harris - Blessings (w/ Clementine Douglas),129<->129
99,65,6PM RECORDS - LOVESICK (w/ Sosa La M),BTS - 2.0,129<->129
99,65,6PM RECORDS - LOVESICK (w/ Sosa La M),Drake - Whisper My Name,129<->123
99,65,Peso Pluma - tu con el (w/ Tito Double P),Third Eye Blind - Semi-Charmed Life,103<->103
99,65,Billie Eilish - BIRDS OF A FEATHER,PLK - Sex Model (w/ Theodora),103<->107
99,65,Tito Double P - POR SUS BESOS,"Junior H - DROGA LETAL (w/ Gael Valenzuela, Peso Pluma)",112<->117
99,65,Sean Paul - No Lie (w/ Dua Lipa),RnBoi - AVEC MOI (w/ Nono La Grinta),136<->129
99,65,WIXO & LA2S - GMK,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),136<->129
99,64,Danilo e Davi - Apaga Apaga Apaga,The Temper Trap - Sweet Disposition,129<->129
99,64,Danilo e Davi - Apaga Apaga Apaga,Werenoi - PÃ©tunias,129<->123
99,64,"HUNTR/X - Golden (w/ EJae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",Sexion dAssaut - Wati by Night,123<->117
99,64,Future - Snow in Skyami,Drake - What Did I Miss?,129<->123
99,64,Future - Snow in Skyami,"DJ JZ - MTG Pra Ficar Legal (w/ Mc Fael Halls, Mc Menor Thalis)",129<->129
99,64,Oasis - Wonderwall,Shawn Mendes - There's Nothing Holdin' Me Back,117<->123
99,64,Chuyin - PUES QUE LE HAGO ?,GIMS - PARISIENNE (w/ La Mano 1.9),129<->123
